0270	大连工业大学艺术与信息工程学院	386.064105066
0271	大连海事大学	591.118109124
0272	大连海事大学	561.106111122
0273	大连海洋大学	460. 093103101
0275	大连海洋大学	436.071100098
0276	大连海洋大学	480.087107108
0278	大连交诵大学	534.105102124
0279	大连交诵大学	499.106102094
0280	大连交诵大学	434.069108096
0281	大连交诵大学	542.106133106
0282	大连科枝学院	400.080090101
0283	大连理工大学	622.134117124
0285	大连理工大学	599.111128129
0286	大连理工大学	595.109119133
0287	大连理工大学	618.120118124
0288	大连理工大学(盘锦校区）	582.108114121
0289	大连理工大学(盘锦校区）	572.097118121
0290	大连理工大学城市学院	407.078093074
0291	大连民旄大学	500.080117114
0292	大连民旄大学	487.087101106
0296	大连外国语大学	520.098107126
0297	大连外国语大学	481.085096114
0299	大连医科大学	580.112116132
0300	大连医科大学	533.108116121
0301	大连医科大学	508.080111096
0302	大连医科大学	508.102101099
0303	大连医科大学	492.102099099
0305	大连医科大学中山学院	427.094102102
0306	大连艺术学院	394.040100108
0309	大庆师范学院	474.093101101
0313	德州学院	462.080112092
0315	滇西应用枝术大学	440.060108104
0316	电子科枝大学	654.138115136
0317	电子科枝大学(沙河校区）	649.130116135
0318	电子科枝大学(沙河校区）	483.077104101
0319	电子科枝大学成都学院	443.083098094
0320	东北财经大学	580.121116122
0321	东北财经大学	589.125112129
0322	东北财经大学	553.098119126
0323	东北财经大学	572.110114119
0325	东北财经大学	576.117113124
0326	东北大学	613.107120138
0327	东北大学	601.112114139
0328	东北大学秦皇岛分校	602.130111130
0329	东北大学秦皇岛分校	581.113116131
0330	东北电力大学	556.126099116
0331	东北电力大学	531.113109110
0332	东北林业大学	561.114113112
0333	东北林业大学	517.096097119
0336	东北农业大学	558.117107104
0337	东北农业大学	517.088136109
0338	东北师范大学	594.113122129
0339	东北师范大学	574.108105120
0340	东北师范大学	583.111119119
0341	东北师范大学	603.135129114
1951	东北师范大学	587.116107128
0342	东北师范大学人文学院	442.083106092
0343	东北石油大学	518.120090098
0345	东华大学	604.128116122
0346	东华大学	583.121104120
0347	东华理工大学	511.105102107
0348	东华理工大学长江学院	429.107097089
0349	东南大学	657.125125133
0350	东南大学成贤学院	455.076108114
0351	东莞理工学院	519.090112098
0352	东莞理工学院城市学院	420.081099091
0353    对外经济贸易大学	656.130123141
0355    对外经济贸易大学	639.131116137
0356	防灾科枝学院	482.098104097
0357	福建工程学院	497.089132091
0353	福建江夏学院	435.065100113
0359	福建农林大学	502.100095113
0360	福建师范大学	516.076103119
0361	福建师范大学	507.118086095
0362	福建医科大学	490.076108116
0363	福州大学	586.114115123
0365	福州大学	560.104117118
0366	福州大学至诚学院	422.076103059
0368	福州外语外贸学院	419.056100106
0373	复旦大学	684.146122145
0375    复旦大学医学院	677.140119145
0376    甘肃民族师范学院	476.088100092
0377    甘肃农业大学	445.110095081
0378    甘肃政法大学	533.092109120
0379    赣南师范大学	518.114113096
0381    赣南医学院	507.093112119
0383	广东财经大学	560.103116121
0385	广东东软学院	413.076094089
0386	广东工业大学华立学院	412.078098083
0387	广东海洋大学	483.093104100
0389	广东技术师范大学	502.086113103
0390	广东金融学院	559.124101110
0393	广东石油化工学院	447.051101133
0397	广东药科大学	531.102103128
0398	广东医科大学	499.099092086
0399	广东以色列理工学院	512.097105110
0400	广西财经学院	521.100110114
0401	广西大学	559.107115121
0402	广西大学行健文理学院	417.089087074
0410	广西科技大学	455.093101037
0411	广西科枝大学	427.071102096
0412	广西科枝师范学院	443.076099091
0413	广西民旌大学	474.081101124
0416	广西师范大学	546.104102124
0417	广西外国语学院	432.079101116
0418	广西医科大学	586.123120131
0422	广西中医药大学	494.085113098
0423	广西中医药大学	454.090111102
0425	广西中医药大学寒恩斯新医药学院	431.074098104
0426	广州大学	568.104118119
0427	广州大学华软软件学院	438.068114104
0428	广州工商学院	406.072100103
0437	广州中医药大学	560.098113123
0438    贵州财经大学	443.060107112
0439    贵州财经大学商务学院	435.073106116
0440    贵州大学	541.131103072
0441    贵州大学明德学院	425.090084091
0446    贵州理工学院	451.077111111
0448    贵州师范大学求是学院	456.088090089
0449    贵师范学院	457.071106106
0450    贵医科大学	571.110115116
0451	贵州中医药大学	494.112110070
0452	桂林电子科枝大学	556.107113127
0453	桂林电子科枝大学	373.060093081
0455	桂林电子科枝大学信息科枝学院	434.079099089
0456	桂林航天工业学院	453.071100079
0457	挂林理工大学	489.080113118
0458	桂林理工大学博文管理学院	425.085090064
0459	桂林旅游学院	455.033105112
0462	牛封木医学院	510.091117139
0463	国防科枝大学	650.133111136
0471	哈尔镔工程大学	606.116110131
0472	哈尔镔工程大学	549.124105108
0473	啥尔滨工程大学	571.116113122
0475	哈尔镔工程大学	597.129108138
0476	啥尔渡工业大学	657.140105135
0477	哈尔镔工业大学(深圳）	665.140120136
0478	哈尔滨工业大学赚)	636.124117129
0479	哈尔滨工业大学赚)	596.130107125
0480	哈尔镔广逼学院	416.049110096
0481	哈尔镔华德学院	409.057097114
0482	哈尔镔釗桥学院	433.077106101
0483	哈尔镔金融学院	518.095110125
0486	哈尔镔理工大学	530.103103092
0487	哈尔镔商业大学	508.093120114
0488	哈尔渡师范大学	535.094114111
0489	哈尔镔石油学院	425.074101094
0493	哈尔镔栺息工程学院	427.092102089
0495	哈尔镔学院	477.095110113
0496	哈尔镔医科大学	578.112100137
0497	哈尔镔医科大学	489.087109109
0501	哈尔镔玩东理工学院	424.068095121
0510	海军军医大学	618.120118146
0513	海口经济学院	407.067099107
0515	海南大学	570.117103121
0516	海南大学	537.086115124
0518	海南科枝职业大学	413.089087085
0519	海南热带海样学院	454.033102077
0520	海南师范大学	526.091107128
0521	海南师范大学	501.087115120
0522	海南医学院	497.088093105
0526	韩山师范学院	450.072106105
0527	杭州电子科&大学	599.122119106
0528	也小丨、i电子封枝大学	595.102124131
0529	杭州师范大学	569.114118108
0530	杭州师范大学钱江学院	423.078102077
0531	合肥工业大学	596.121109131
0532	合肥工业大学	573.087121133
0533	合肥工业大学(宣城校区）	585.120115127
0538	合肥学院	479.090102090
0540	河北北方学院	513.085111128
0542	河北大学	367.066111038
0543	河北地质大学	479.097107057
0546	河北地质大学华信学院	427.102102086
0547	河北东方学院	430.080095106
0549	河北工程大学	484.103115119
0550	河北工程大学科信学院	436.088103099
0551	河北工程枝术学院	428.088103095
